id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;lunghezza;geometry
9001;1064;PIAZZA VENTICINQUE APRILE;;urbana;percorso promiscuo - pedonale e ciclabile;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;43.0;LINESTRING (9.186999187954481 45.4809484311383, 9.186959907055956 45.48085266925734, 9.186811588394933 45.48058806153669)
9002;3377;VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;corsia ciclabile - sede propria;marciapiede;bidirezionale;ordinanza lavori stradali;465.0;LINESTRING (9.241919876467321 45.43931388807974, 9.242021474607542 45.4393926847839, 9.240485977385159 45.44026721041968, 9.2403697727064 45.44027957234545, 9.240275000760693 45.44036223024347, 9.240101049190615 45.44042942167594, 9.239899675195385 45.4404493150935, 9.239020491701648 45.442470127119, 9.23902167480405 45.44251184391465, 9.239037705190649 45.44257675483843)
9003;3377;VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;corsia ciclabile - sede propria;marciapiede;bidirezionale;ordinanza lavori stradali;60.0;LINESTRING (9.239792121969961 45.43995726630794, 9.239908398027572 45.43998151889532, 9.240215540703209 45.44008688914742, 9.240359325574843 45.44027544615496)
9004;3377;VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;corsia ciclabile - sede propria;marciapiede;bidirezionale;ordinanza lavori stradali;6.0;LINESTRING (9.23902167480405 45.44251184391465, 9.238984823012991 45.44256167842756)
9005;3377;VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;corsia ciclabile - sede propria;marciapiede;bidirezionale;ordinanza lavori stradali;28.0;LINESTRING (9.2399011257701 45.43999010939175, 9.23984623104047 45.44008702717765, 9.239646701655298 45.44004764518949)
9006;1360;VIALE MARCHE;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;18.0;LINESTRING (9.197576225057441 45.49488793174272, 9.197792223422116 45.49482935402329)
9009;4068;CORSO LODI;;urbana;percorso promiscuo - veicolare e ciclabile;carreggiata;monodirezionale - concorde;FACILITAZIONE - Z30;297.0;LINESTRING (9.206275554385442 45.44987238945083, 9.204286854708883 45.45110088427477, 9.203567828474572 45.45153222477626, 9.203492084821491 45.45156201875096, 9.203374021165844 45.4515414672062)
9011;1;PIAZZA DEL DUOMO;;urbana;percorso promiscuo - pedonale e ciclabile;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;69.0;LINESTRING (9.191389464056332 45.46471189193348, 9.192272732761978 45.46471698192999)
9012;1;PIAZZA DEL DUOMO;;urbana;percorso promiscuo - pedonale e ciclabile;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;109.0;LINESTRING (9.189996405229222 45.4646918909019, 9.191389464056332 45.46471189193348)
9013;5144;ALZAIA NAVIGLIO GRANDE;;urbana;percorso promiscuo - pedonale e ciclabile;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;31.0;LINESTRING (9.168559830974274 45.4505881798839, 9.168393892018768 45.4505629511912, 9.168171718697915 45.45054914621365)
