area;codice_NUTS1;codice_NUTS2;codice_regione_ISTAT;denominazione_struttura;lat;lng;nome_area;tipologia
ABR;ITF;ITF1;13;AVEZZANO-SULMONA-L'AQUILA;42.0512567;13.9343122;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;CASA DI CURA VILLA SERENA;42.5213536;14.0979546;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;CDC S.CAMILLA-C.RIA.VILLA PINI;42.379116;14.1898173;Abruzzo;Territoriale
ABR;ITF;ITF1;13;CENTRO RIABILITAZIONE  SANEX;42.7121427;13.6577879;Abruzzo;Territoriale
ABR;ITF;ITF1;13;CONS. S.STEFANO S.EGIDIO;42.823682;13.716292;Abruzzo;Territoriale
ABR;ITF;ITF1;13;DSB CHIETI CENTRO;42.3504915;14.1642059;Abruzzo;Territoriale
ABR;ITF;ITF1;13;DSB LANCIANO;42.2244264;14.3920872;Abruzzo;Territoriale
ABR;ITF;ITF1;13;FOND. P. A. MILENO - LANCIANO IL GABBIANO;42.2422294;14.39621;Abruzzo;Territoriale
ABR;ITF;ITF1;13;HOSPICE TORREVECCHIA TEATINA;42.379907;14.2114585;Abruzzo;Territoriale
ABR;ITF;ITF1;13;LANCIANO-VASTO-CHIETI;42.11326649999999;14.7034917;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;"LIDO SRL - R.P. ""T. BERARDI"" ORTONA";42.3450711;14.4016974;Abruzzo;Territoriale
ABR;ITF;ITF1;13;"LIDO SRL - R.P. DISABILI ""IL CASTELLO"" CRECCHIO";42.2924006;14.3249954;Abruzzo;Territoriale
ABR;ITF;ITF1;13;OSPEDALE MARIA S.S. DELLO SPLENDORE;42.7458216;13.9629905;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;OSPEDALE MAZZINI;42.6660957;13.714887;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;OSPEDALE SAN LIBERATORE   DI ATRI  (TE);42.5781663;13.9870971;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;P.O. 'SPIRITO SANTO' PESCARA;42.465136;14.2092505;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;P.O. ATESSA 'SAN CAMILLO DE LELLIS';42.0730355;14.4475058;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;P.O. CLINICIZZ. 'SS. ANNUNZIATA' CHIETI;42.36571379999999;14.1526676;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;P.O. LANCIANO 'RENZETTI';42.22994389999999;14.3970068;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;P.O. ORTONA 'G. BERNABEO';42.3510952;14.3893809;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;P.O. S. MASSIMO DI PENNE;42.4588025;13.9204999;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;P.O. VASTO 'S. PIO DA PIETRALCINA';42.1182804;14.7101902;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;P.O.'S.S. TRINITA'' POPOLI;42.1762413;13.8272279;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;P.O.-VAL VIBRATA SANT'OMERO;42.785078;13.8054287;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;P.O.SAN SALVATORE L'AQUILA;42.3681367;13.3531644;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;P.T.A. CASOLI;42.1181232;14.2953781;Abruzzo;Territoriale
ABR;ITF;ITF1;13;PAOLO VI  MADONNA DEL MONTE;42.2324028;13.9606027;Abruzzo;Territoriale
ABR;ITF;ITF1;13;PAOLO VI SAN CLEMENTE;42.2335618;13.9296529;Abruzzo;Territoriale
ABR;ITF;ITF1;13;PESCARA;42.4617902;14.2160898;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;PO AVEZZANO 'S. FILIPPO E NICOLA';42.0532466;13.427564;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;PO SULMONA ' DELL' ANNUNZIATA';42.0491448;13.9232831;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;PO TAGLIACOZZO ' UMBERTO I';42.0714468;13.254958;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;POLIAMBULATORIO CASALENA;42.67242340000001;13.726749;Abruzzo;Territoriale
ABR;ITF;ITF1;13;PRESIDIO OSPEDALIERO CASTEL DI SANGRO;41.7760135;14.1164288;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;R.A. SANTIAGO (EX MARIA ASSUNTA);40.2089072;-8.424150899999999;Abruzzo;Territoriale
ABR;ITF;ITF1;13;RIABILITAZIONE WELLNESS&C.;42.5818767;13.6515266;Abruzzo;Territoriale
ABR;ITF;ITF1;13;RSA VILLA SAN GIOVANNI;42.4129943;14.200879;Abruzzo;Territoriale
ABR;ITF;ITF1;13;SERV RIAB SULMONA;42.0430508;13.9244643;Abruzzo;Territoriale
ABR;ITF;ITF1;13;TERAMO;42.6611431;13.6986639;Abruzzo;Ospedaliero
ABR;ITF;ITF1;13;UOSD MEDICINA TERRITORIALE PENITENZ.;42.4604102;14.2137543;Abruzzo;Territoriale
BAS;ITF;ITF5;17;AMB. E LAB. PLESSO DI LAURIA;40.0423842;15.8339274;Basilicata;Territoriale
BAS;ITF;ITF5;17;AMB. TERR. VILLA D'AGRI;40.3560734;15.8289403;Basilicata;Territoriale
BAS;ITF;ITF5;17;ANGELUS SRL;40.2064259;16.6645147;Basilicata;Territoriale
BAS;ITF;ITF5;17;AZIENDA OSPEDALIERA REGIONALE 'S. CARLO';40.6518718;15.8062809;Basilicata;Ospedaliero
BAS;ITF;ITF5;17;AZIENDA SANITARIA LOCALE DI MATERA  ASM;40.6502172;16.6180353;Basilicata;Ospedaliero
BAS;ITF;ITF5;17;AZIENDA SANITARIA LOCALE DI POTENZA ASP;40.63694419999999;15.8087951;Basilicata;Ospedaliero
BAS;ITF;ITF5;17;C.R.O.B. - I.R.C.C.S.;40.931324;15.6751518;Basilicata;Ospedaliero
BAS;ITF;ITF5;17;DISTRETTO SANITARIO-CALCIANO-;40.587387;16.1900453;Basilicata;Territoriale
BAS;ITF;ITF5;17;DISTRETTO SANITARIO-SALANDRA-;40.5253147;16.3202127;Basilicata;Territoriale
BAS;ITF;ITF5;17;DISTRETTO SANITARIO-TRICARICO-;40.623233;16.142827;Basilicata;Territoriale
BAS;ITF;ITF5;17;DISTRETTO TURSI;40.2469249;16.4689819;Basilicata;Territoriale
BAS;ITF;ITF5;17;FONDAZIONE DON CARLO GNOCCHI - ONLUS;40.7938816;15.9206841;Basilicata;Ospedaliero
BAS;ITF;ITF5;17;OSP S.FRANCESCO DI PAOLA DI PESCOPAGANO;40.8344799;15.3946364;Basilicata;Ospedaliero
BAS;ITF;ITF5;17;OSP S.PIO DA PIETRELCINA DI VILLA D'AGRI;40.3614944;15.8259538;Basilicata;Ospedaliero
BAS;ITF;ITF5;17;OSPEDALE DISTRETTUALE  DI VENOSA;40.9599106;15.807957;Basilicata;Territoriale
